tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
707,2014-02-01,2014-02-01T00:14:37.000-05:00,257,Lispenard St & Broadway,40.71939226,-74.00247214,345,W 13 St & 6 Ave,40.73649403,-73.99704374,17757,Subscriber,1962,1,10013
453,2014-02-01,2014-02-01T02:57:05.000-05:00,512,W 29 St & 9 Ave,40.7500727,-73.99839279,515,W 43 St & 10 Ave,40.76009437,-73.99461843,14989,Subscriber,1965,1,10001
544,2014-02-01,2014-02-01T07:59:18.000-05:00,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,2004,6 Ave & Broome St,40.724399,-74.004704,16225,Subscriber,1984,2,10005
528,2014-02-01,2014-02-01T08:42:53.000-05:00,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,261,Johnson St & Gold St,40.69474881,-73.98362464,19504,Subscriber,1976,2,11201
197,2014-02-01,2014-02-01T09:02:30.000-05:00,450,W 49 St & 8 Ave,40.76227205,-73.98788205,469,Broadway & W 53 St,40.76344058,-73.98268129,20922,Subscriber,1973,1,10019
830,2014-02-01,2014-02-01T09:26:26.000-05:00,411,E 6 St & Avenue D,40.72228087,-73.97668709,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,20840,Subscriber,1950,1,10009
846,2014-02-01,2014-02-01T09:32:28.000-05:00,509,9 Ave & W 22 St,40.7454973,-74.00197139,293,Lafayette St & E 8 St,40.73028666,-73.9907647,16845,Subscriber,1962,1,10011
669,2014-02-01,2014-02-01T09:46:21.000-05:00,426,West St & Chambers St,40.71754834,-74.01322069,225,W 14 St & The High Line,40.74195138,-74.00803013,16665,Subscriber,1982,1,10013
503,2014-02-01,2014-02-01T09:50:04.000-05:00,144,Nassau St & Navy St,40.69839895,-73.98068914,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,15278,Subscriber,1978,2,11201
356,2014-02-01,2014-02-01T10:16:44.000-05:00,168,W 18 St & 6 Ave,40.73971301,-73.99456405,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,19439,Subscriber,1961,1,10011
424,2014-02-01,2014-02-01T11:22:27.000-05:00,476,E 31 St & 3 Ave,40.74394314,-73.97966069,153,E 40 St & 5 Ave,40.752062307,-73.9816324043,16180,Subscriber,1987,1,10016
1505,2014-02-01,2014-02-01T12:09:25.000-05:00,238,Bank St & Washington St,40.7361967,-74.00859207,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,19341,Customer,\N,0,10014
375,2014-02-01,2014-02-01T11:52:44.000-05:00,433,E 13 St & Avenue A,40.72955361,-73.98057249,527,E 33 St & 1 Ave,40.74315566,-73.97434726,15361,Subscriber,1971,1,10009
1155,2014-02-01,2014-02-01T12:26:48.000-05:00,509,9 Ave & W 22 St,40.7454973,-74.00197139,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,20849,Subscriber,1988,1,10011
364,2014-02-01,2014-02-01T12:20:17.000-05:00,301,E 2 St & Avenue B,40.72217444,-73.98368779,531,Forsyth St & Broome St,40.71893904,-73.99266288,18473,Subscriber,1959,2,10009
163,2014-02-01,2014-02-01T12:25:06.000-05:00,301,E 2 St & Avenue B,40.72217444,-73.98368779,312,Allen St & E Houston St,40.722055,-73.989111,18024,Subscriber,1987,1,10009
1091,2014-02-01,2014-02-01T12:44:06.000-05:00,495,W 47 St & 10 Ave,40.76269882,-73.99301222,435,W 21 St & 6 Ave,40.74173969,-73.99415556,16249,Subscriber,1969,1,10036
239,2014-02-01,2014-02-01T12:38:06.000-05:00,463,9 Ave & W 16 St,40.74206539,-74.00443172,482,W 15 St & 7 Ave,40.73935542,-73.99931783,14788,Subscriber,1963,2,10011
656,2014-02-01,2014-02-01T13:00:35.000-05:00,520,W 52 St & 5 Ave,40.75992262,-73.97648516,523,W 38 St & 8 Ave,40.75466591,-73.99138152,15484,Subscriber,1974,1,10019
1591,2014-02-01,2014-02-01T13:18:01.000-05:00,457,Broadway & W 58 St,40.76695317,-73.98169333,459,W 20 St & 11 Ave,40.746745,-74.007756,17156,Customer,\N,0,10019
2003,2014-02-01,2014-02-01T13:27:16.000-05:00,401,Allen St & Rivington St,40.72019576,-73.98997825,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,19464,Subscriber,1983,2,10002
464,2014-02-01,2014-02-01T13:04:13.000-05:00,444,Broadway & W 24 St,40.7423543,-73.98915076,345,W 13 St & 6 Ave,40.73649403,-73.99704374,20620,Subscriber,1981,1,10010
